Name,Album,Artist,URL
"Oh Sita Hey Rama (From ""Sita Ramam (Telugu)"")","Oh Sita Hey Rama [From ""Sita Ramam (Telugu)""]",Vishal Chandrashekhar,https://open.spotify.com/track/1hYaQRlsuEW4kMjjmjyow3
Atta Sudake,Khiladi,Devi Sri Prasad,https://open.spotify.com/track/0Gtrx0APzKJABc817nOuju
Tharagathi Gadhi,Colour Photo,Kala Bhairava,https://open.spotify.com/track/7h8pQvwKxRYTt3oRGjNT93
,,Various Artists,https://open.spotify.com/track/47BZ5zznG2jzc2hjsEbvxH
"Oo Antava Oo Oo Antava (From ""Pushpa - The Rise"")(Telugu)","Oo Antava Oo Oo Antava (From ""Pushpa - The Rise"")(Telugu)",Devi Sri Prasad,https://open.spotify.com/track/3szxldqiYs7nkvtmooRod8
Puttene Prema,Gully Rowdy,Sai Kartheek,https://open.spotify.com/track/2JAsg6txhUsMgRaKbLkCmm
Hey Idi Nenena,Solo Brathuke So Better (Original Motion Picture Soundtrack),Thaman S,https://open.spotify.com/track/10nKbCaaU2OFTywWNvqHkX
MalliRaava,MalliRaava (Original Motion Picture Soundtrack),Shravan Bharadwaj,https://open.spotify.com/track/6OFKZk7gr5KH4SpECB6Uee
Oh Priya Priya,Ishq,Anup Rubens,https://open.spotify.com/track/2Ej4vdkwwBDyE6QfFWaXUF
Chirunama Thana Chirunama,Ekkadiki Pothavu Chinnavada,Shekar Chandra,https://open.spotify.com/track/0tkVT2PRjiDHkKhellVpb6
Endhuko Emo,Rangam,Harris Jayaraj,https://open.spotify.com/track/6Yqw4HtJuFXleJtgzYXWzT
Saripovu,Karthikeya,Shekar Chandra,https://open.spotify.com/track/3CDyEoBgQHC1hJATGfjwHn
"Kallolam (From ""Padi Padi Leche Manasu"")","Kallolam (From ""Padi Padi Leche Manasu"")",Anurag Kulkarni,https://open.spotify.com/track/37cGWOypYSmYzAV4gh786W
Mella Mellagaa,ABCD - American Born Confused Desi (Original Motion Picture Soundtrack),Judah Sandhy,https://open.spotify.com/track/4vX7VKZYx1wGAq5DKBTfAF
"Jaamurathiri (From ""Kshana Kshanam"")",Sangeethotsavam - Best Telugu Duets Of Spb & Chitra Vol-2,S. P. Balasubrahmanyam,https://open.spotify.com/track/39isdLCkPmb2G08Ltq1OEb
